id,stratum,latitude,longitude,date,group_size
1,North,38.3985,41.4691,2022.09.07,12
2,North,38.3980,41.4695,2023.05.21,13
3,North,38.3954,41.4702,2021.04.11,8
4,North,38.3967,41.4702,2020.12.21,9
5,North,38.4248,41.4673,2021.06.14,9
6,North,38.4240,41.4692,2022.08.12,4
7,North,38.4216,41.5007,2021.03.09,4
8,North,38.4214,41.5041,2021.04.07,16
9,North,38.4209,41.5065,2022.09.15,3
10,North,38.4203,41.5016,2023.02.19,6
11,North,38.4209,41.5048,2021.11.08,15
12,North,38.4197,41.5201,2022.06.04,3
13,North,38.4196,41.5221,2021.03.17,6
14,North,38.4197,41.5213,2022.05.13,18
15,North,38.4191,41.5227,2022.08.27,5
16,North,38.3235,41.5650,2020.11.02,9
17,North,38.3221,41.5629,2021.04.10,6
18,North,38.3252,41.5677,2021.01.28,2
19,North,38.3392,41.5723,2022.03.30,2
20,North,38.3437,41.5685,2021.05.06,20
21,North,38.3446,41.5639,2022.10.17,3
22,North,38.3430,41.5705,2022.08.28,1
23,North,38.2544,41.6011,2020.11.24,1
24,North,38.2573,41.6020,2021.01.28,7
25,North,38.2570,41.6009,2021.04.10,5
26,North,38.2557,41.6023,2022.06.11,19
27,North,38.2568,41.6092,2021.02.14,1
28,North,38.2620,41.6052,2021.07.05,10
29,North,38.2597,41.6145,2021.01.28,7
30,North,38.2590,41.6138,2021.05.06,8
31,South,37.6828,41.6049,2020.10.13,4
32,South,37.6837,41.6073,2023.12.16,3
33,South,37.6820,41.6035,2022.08.27,1
34,South,37.6857,41.6086,2021.10.15,18
35,South,37.7007,41.6056,2021.03.15,9
36,South,37.7036,41.6096,2022.04.16,9
37,South,37.7022,41.6123,2022.07.02,8
38,South,37.6987,41.5801,2021.11.10,1
39,South,37.7024,41.5824,2021.06.10,4
40,South,37.6997,41.5812,2023.12.16,2
41,South,37.6970,41.5794,2022.05.21,12
42,South,37.7007,41.5822,2022.08.27,3
43,South,37.6994,41.4677,2020.12.20,11
44,South,37.7009,41.4718,2021.02.14,10
45,South,37.6978,41.4709,2022.11.04,10
46,South,37.6977,41.4568,2021.09.12,18
47,South,37.6968,41.4633,2023.01.07,2
48,South,37.6986,41.4618,2022.03.22,9
49,South,37.6926,41.4179,2022.03.08,8
50,South,37.6898,41.4189,2022.10.07,18
51,South,37.6877,41.4248,2021.08.12,12
52,South,37.6900,41.4235,2022.06.10,22
53,South,37.6647,41.3766,2020.11.20,19
54,South,37.6607,41.3784,2021.01.15,2
55,South,37.6588,41.3757,2023.03.15,4
56,South,37.6609,41.3740,2023.05.19,2
57,South,37.6598,41.3776,2021.10.21,12
58,South,37.6622,41.3754,2022.08.06,10
59,South,37.6614,41.3957,2022.08.06,23
60,South,37.6574,41.3895,2022.12.20,30
61,South,37.6606,41.3916,2023.05.19,7
62,South,37.6598,41.3903,2021.10.21,7
63,South,37.6586,41.3898,2022.02.10,4
64,South,37.6190,41.3283,2021.12.07,4
65,South,37.6209,41.3268,2024.03.09,1
66,South,37.6185,41.3290,2021.09.09,15
67,South,37.6141,41.3414,2020.11.08,3
68,South,37.6139,41.3396,2023.01.13,4
69,South,37.6132,41.3443,2022.07.05,7
70,South,37.6138,41.3420,2022.11.11,5
71,South,37.6121,41.3592,2022.06.02,6
72,South,37.6113,41.3593,2022.02.17,2
73,South,37.6109,41.3602,2023.05.20,6
74,South,37.6107,41.3605,2022.11.11,17
75,South,37.6626,41.5058,2022.06.08,28
76,South,37.6644,41.5065,2022.10.14,22
77,South,37.7391,41.4612,2020.11.10,8
78,South,37.7396,41.4802,2021.09.18,24
79,South,37.7395,41.4665,2022.04.24,32
80,South,37.7402,41.4701,2022.01.14,9
81,South,37.7397,41.4722,2022.08.29,14
82,South,37.7391,41.4758,2021.10.15,6
83,South,37.7339,41.5375,2020.12.07,13
84,South,37.7325,41.5441,2023.02.24,4
85,South,37.7343,41.5514,2022.03.08,4
86,South,37.7342,41.5482,2022.05.17,5
87,South,37.7354,41.5536,2022.07.01,10
